0,0,0,0
-0.003364,0.016709,-0.00478,-0.019
-0.01341,0.066612,-0.019058,-0.075745
-0.030071,0.149375,-0.042736,-0.169855
-0.05328,0.264661,-0.07572,-0.300947
-0.082969,0.412136,-0.117913,-0.468642
-0.11907,0.591464,-0.169219,-0.672557
-0.161516,0.80231,-0.229542,-0.912311
-0.21024,1.044338,-0.298787,-1.187522
-0.265174,1.317214,-0.376857,-1.497811
-0.32625,1.620602,-0.463657,-1.842795
-0.393401,1.954166,-0.55909,-2.222093
-0.46656,2.317572,-0.663061,-2.635324
-0.545659,2.710484,-0.775474,-3.082106
-0.63063,3.132567,-0.896233,-3.562059
-0.721406,3.583486,-1.025242,-4.074801
-0.81792,4.062905,-1.162404,-4.619951
-0.920104,4.570489,-1.307625,-5.197128
-1.02789,5.105903,-1.460808,-5.805949
-1.141212,5.668811,-1.621857,-6.446034
-1.26,6.258878,-1.790676,-7.117003
-1.384189,6.875769,-1.96717,-7.818473
-1.513711,7.519148,-2.151242,-8.550064
-1.648497,8.188681,-2.342796,-9.311392
-1.788481,8.884031,-2.541737,-10.102078
-1.933595,9.604865,-2.747969,-10.921742
-2.083771,10.350844,-2.961395,-11.77
-2.238942,11.121635,-3.18192,-12.64647
-2.39904,11.916903,-3.409447,-13.550773
-2.563999,12.736312,-3.643882,-14.482528
-2.73375,13.579527,-3.885127,-15.441351
-2.908226,14.446214,-4.133088,-16.426865
-3.08736,15.336034,-4.387667,-17.438684
-3.271084,16.248655,-4.648769,-18.476433
-3.45933,17.183741,-4.916299,-19.539724
-3.65203,18.140957,-5.19016,-20.62818
-3.849119,19.119968,-5.470257,-21.741417
-4.050528,20.120436,-5.756493,-22.879055
-4.256189,21.142029,-6.048772,-24.040716
-4.466035,22.18441,-6.347,-25.226011
-4.679998,23.247246,-6.651078,-26.434566
-4.898012,24.330196,-6.960913,-27.665997
-5.120008,25.432932,-7.276407,-28.919922
-5.345919,26.555113,-7.597466,-30.195959
-5.575677,27.696407,-7.923991,-31.493732
-5.809216,28.856478,-8.255889,-32.812855
-6.046466,30.034986,-8.593063,-34.152946
-6.287362,31.231606,-8.935418,-35.513626
-6.531837,32.445995,-9.282857,-36.894512
-6.77982,33.677818,-9.635283,-38.295227
-7.031246,34.926743,-9.992604,-39.715385
-7.286047,36.192432,-10.354719,-41.154602
-7.544154,37.474548,-10.721536,-42.612511
-7.805503,38.772762,-11.092957,-44.088711
-8.070024,40.086731,-11.468886,-45.582832
-8.33765,41.416126,-11.849229,-47.094498
-8.608314,42.760612,-12.233887,-48.623318
-8.881947,44.119846,-12.622767,-50.168911
-9.158483,45.4935,-13.015773,-51.730904
-9.437854,46.881237,-13.412807,-53.308899
-9.719993,48.282722,-13.813772,-54.902538
-10.00483,49.697617,-14.218576,-56.511421
-10.292301,51.125584,-14.627123,-58.135178
-10.582337,52.566299,-15.039314,-59.773418
-10.87487,54.019421,-15.455053,-61.425774
-11.169834,55.484608,-15.874248,-63.091846
-11.467159,56.96154,-16.296799,-64.771263
-11.766781,58.449867,-16.72261,-66.463638
-12.068629,59.949249,-17.151588,-68.168617
-12.372637,61.459373,-17.583633,-69.885773
-12.678738,62.979889,-18.018656,-71.614761
-12.986862,64.51046,-18.456556,-73.355179
-13.296947,66.050758,-18.897238,-75.106659
-13.608921,67.600441,-19.340605,-76.86882
-13.922718,69.15918,-19.786564,-78.641266
-14.238268,70.726639,-20.235018,-80.42363
-14.555507,72.302475,-20.685867,-82.215523
-14.874366,73.886353,-21.139019,-84.016571
-15.194777,75.477959,-21.594379,-85.82637
-15.516671,77.07692,-22.051847,-87.644585
-15.839985,78.682945,-22.511332,-89.470787
-16.164648,80.295662,-22.972733,-91.304626
-16.490595,81.914757,-23.435959,-93.145691
-16.817755,83.539886,-23.900909,-94.993637
-17.146065,85.1707,-24.367493,-96.848053
-17.475452,86.8069,-24.835609,-98.708588
-17.805853,88.44812,-25.305164,-100.574829
-18.137197,90.09404,-25.776062,-102.446396
-18.469421,91.744308,-26.248211,-104.322937
-18.802454,93.398605,-26.72151,-106.204056
-19.13623,95.056587,-27.195862,-108.089355
-19.47068,96.717934,-27.671173,-109.97847
-19.80574,98.382294,-28.14735,-111.871025
-20.141338,100.049324,-28.62429,-113.766617
-20.477409,101.718719,-29.101908,-115.664871
-20.813887,103.390106,-29.580093,-117.56543
-21.1507,105.063187,-30.058765,-119.467903
-21.487785,106.73761,-30.537817,-121.371887
-21.825066,108.413017,-31.017159,-123.277008
-22.162493,110.089111,-31.496691,-125.182907
-22.499977,111.765549,-31.976322,-127.089188
-22.837467,113.441963,-32.455956,-128.995453
-23.174889,115.118057,-32.935486,-130.901352
-23.512177,116.793472,-33.414825,-132.806488
-23.849258,118.467888,-33.893883,-134.71048
-24.186069,120.140968,-34.372551,-136.612946
-24.522551,121.81237,-34.850739,-138.513489
-24.85862,123.48175,-35.328354,-140.411758
-25.194218,125.148788,-35.805294,-142.307373
-25.529274,126.813148,-36.281471,-144.19989
-25.863728,128.474487,-36.756783,-146.08902
-26.1975,130.132462,-37.231133,-147.974335
-26.530537,131.786758,-37.704437,-149.855438
-26.862759,133.437042,-38.176582,-151.731964
-27.194105,135.082947,-38.64748,-153.603546
-27.524506,136.724182,-39.117035,-155.469803
-27.853895,138.360367,-39.585152,-157.330322
-28.182201,139.991211,-40.051735,-159.184723
-28.509365,141.616333,-40.516685,-161.032684
-28.835316,143.235413,-40.979912,-162.873749
-29.159975,144.848145,-41.441319,-164.707596
-29.483288,146.454163,-41.900795,-166.533813
-29.805183,148.053131,-42.358273,-168.35199
-30.125597,149.644745,-42.813629,-170.161819
-30.444456,151.228622,-43.266781,-171.96286
-30.761694,152.804459,-43.717628,-173.75473
-31.077244,154.371918,-44.166084,-175.537109
-31.391039,155.930649,-44.612041,-177.309601
-31.703014,157.480316,-45.055408,-179.071747
-32.0131,159.02063,-45.496094,-180.823196
-32.32122,160.551224,-45.93399,-182.563644
-32.627327,162.071716,-46.369011,-184.292618
-32.931335,163.581848,-46.801064,-186.009796
-33.233181,165.081223,-47.230038,-187.714752
-33.532799,166.569565,-47.655849,-189.407135
-33.830132,168.046494,-48.078403,-191.086548
-34.125092,169.511688,-48.497597,-192.752625
-34.417625,170.964798,-48.913342,-194.404999
-34.707657,172.405518,-49.325531,-196.043243
-34.995132,173.833481,-49.734077,-197.666992
-35.279968,175.248398,-50.138882,-199.275879
-35.562111,176.649887,-50.539852,-200.869522
-35.84148,178.037613,-50.936882,-202.44754
-36.118023,179.411255,-51.329887,-204.009491
-36.391651,180.770523,-51.718769,-205.555084
-36.662315,182.11499,-52.103424,-207.083893
-36.929943,183.444366,-52.483768,-208.595596
-37.194466,184.758362,-52.859699,-210.089737
-37.455811,186.056564,-53.231117,-211.565933
-37.713924,187.338684,-53.597939,-213.023834
-37.968723,188.604385,-53.960052,-214.463074
-38.220146,189.853317,-54.317375,-215.883194
-38.468136,191.085144,-54.6698,-217.28389
-38.712608,192.299561,-55.017242,-218.66481
-38.953506,193.49617,-55.359596,-220.025513
-39.190758,194.674652,-55.696774,-221.365616
-39.424294,195.834747,-56.028671,-222.684738
-39.654053,196.976028,-56.355194,-223.982513
-39.879971,198.098251,-56.676258,-225.258575
-40.101959,199.200958,-56.991753,-226.512451
-40.319981,200.283936,-57.30159,-227.743927
-40.533939,201.346756,-57.605659,-228.952423
-40.743786,202.38916,-57.9039,-230.137726
-40.949444,203.410751,-58.196182,-231.299408
-41.150856,204.411194,-58.482407,-232.437073
-41.347942,205.390228,-58.762512,-233.550293
-41.540649,206.347458,-59.036362,-234.638794
-41.728893,207.282532,-59.303894,-235.702057
-41.912617,208.19516,-59.565002,-236.739807
-42.091747,209.084991,-59.819588,-237.751587
-42.26622,209.95166,-60.067551,-238.737152
-42.435978,210.794891,-60.3088,-239.695984
-42.600948,211.614319,-60.543228,-240.627747
-42.76104,212.409546,-60.770744,-241.532043
-42.916218,213.180389,-60.991272,-242.408539
-43.066383,213.926331,-61.204704,-243.256744
-43.211502,214.647156,-61.410934,-244.076416
-43.351486,215.342529,-61.609879,-244.867096
-43.486279,216.012085,-61.801437,-245.628479
-43.615791,216.655457,-61.985512,-246.360016
-43.73999,217.272339,-62.162003,-247.061493
-43.858772,217.862457,-62.330826,-247.732513
-43.972084,218.425354,-62.491875,-248.37262
-44.079887,218.960754,-62.64505,-248.981415
-44.182068,219.468384,-62.790283,-249.558533
-44.27858,219.947754,-62.927437,-250.103729
-44.369354,220.398682,-63.05645,-250.616486
-44.45433,220.820801,-63.177208,-251.096466
-44.533432,221.213684,-63.289619,-251.543243
-44.606598,221.577087,-63.393593,-251.956482
-44.673744,221.910675,-63.489029,-252.335815
-44.734818,222.21405,-63.575836,-252.680695
-44.789757,222.486938,-63.653908,-252.990997
-44.838486,222.728973,-63.723152,-253.266235
-44.880928,222.939789,-63.783478,-253.506042
-44.917023,223.11911,-63.834778,-253.709961
-44.946716,223.266602,-63.876976,-253.877716
-44.969933,223.381866,-63.909973,-254.008759
-44.986588,223.46463,-63.93364,-254.102875
-44.996628,223.514526,-63.947929,-254.159576
-44.999992,223.531189,-63.952698,-254.178589
-45,223.531296,-63.952702,-254.178604
-44.999031,223.531281,-63.952911,-254.179016
-44.996128,223.531219,-63.953533,-254.180222
-44.991318,223.531113,-63.954559,-254.182266
-44.984615,223.53096,-63.95599,-254.185074
-44.97604,223.530792,-63.957825,-254.188675
-44.965618,223.530579,-63.960056,-254.193054
